rank,player_id,player_name,tracked_fga,tracked_2pa,tracked_2pm,expected_2pt_makes,successful_games,failed_games,pbp_fga_global,two_fg_pct,two_xfg_pct,fg_minus_xfg_pp,xfg_coverage_pct_vs_pbp_fga
169,1629614,Andrew Nembhard,689,419,213,210.24399999999997,54,3,753,50.83532219570406,50.177565632458226,0.6577565632458331,91.50066401062416
170,1642271,Kyle Filipowski,559,360,216,213.742,70,7,657,60.0,59.37277777777778,0.6272222222222226,85.08371385083714
171,1630532,Franz Wagner,407,295,155,153.209,29,5,507,52.54237288135593,51.935254237288135,0.6071186440677963,80.27613412228797
172,1642860,Will Riley,509,305,163,161.322,65,6,618,53.442622950819676,52.892459016393445,0.5501639344262301,82.36245954692556
173,1630166,Deni Avdija,873,540,296,293.349,55,10,1065,54.81481481481482,54.32388888888889,0.49092592592592865,81.97183098591549
174,1627739,Kris Dunn,411,214,128,127.033,75,7,477,59.81308411214953,59.36121495327102,0.45186915887850887,86.16352201257861
175,1630696,Dru Smith,254,147,74,73.35900000000001,64,5,325,50.34013605442177,49.90408163265307,0.4360544217687021,78.15384615384616
176,201572,Brook Lopez,508,212,109,108.10900000000001,71,3,542,51.41509433962264,50.99481132075472,0.4202830188679201,93.7269372693727
177,1631099,Keegan Murray,278,174,88,87.269,22,1,300,50.57471264367816,50.154597701149434,0.42011494252872694,92.66666666666667
178,1631212,Peyton Watson,494,319,175,173.66400000000002,51,2,581,54.858934169278996,54.440125391849534,0.41880877742946154,85.02581755593803
179,1631097,Bennedict Mathurin,637,407,206,204.318,54,0,677,50.614250614250615,50.20098280098281,0.41326781326780804,94.09158050221566
180,1629651,Nic Claxton,518,500,301,299.064,65,4,583,60.2,59.8128,0.3872,88.8507718696398
181,1631217,Moussa Diabaté,309,307,196,194.941,67,6,363,63.843648208469055,63.49869706840391,0.3449511400651488,85.12396694214875
182,1641710,Anthony Black,659,397,208,206.633,58,5,773,52.39294710327456,52.048614609571786,0.3443324937027725,85.2522639068564
183,1631260,AJ Green,531,56,28,27.831000000000003,73,5,618,50.0,49.69821428571429,0.3017857142857068,85.92233009708738
184,1642267,Bub Carrington,635,273,127,126.585,76,6,741,46.52014652014652,46.36813186813187,0.1520146520146497,85.69500674763833
185,1626157,Karl-Anthony Towns,920,638,364,363.187,71,4,1032,57.05329153605015,56.92586206896552,0.12742946708463165,89.14728682170542
186,1642377,Jaylen Wells,628,296,153,152.788,64,5,698,51.689189189189186,51.61756756756757,0.07162162162161678,89.97134670487107
