rank_all,player_id,player_name,pbp_fga_global,successful_games,failed_games,attempts,makes,expected_makes,fg_pct,xfg_pct,fg_minus_xfg_pp
217,1642948,Ryan Nembhard,390,29,25,44,17,20.154,38.63636363636363,45.804545454545455,-7.1681818181818215
218,1631101,Shaedon Sharpe,868,29,19,58,22,26.195,37.93103448275862,45.16379310344828,-7.232758620689658
219,203076,Anthony Davis,334,12,8,45,18,21.378,40.0,47.50666666666667,-7.506666666666668
220,203932,Aaron Gordon,398,19,13,21,9,10.589,42.857142857142854,50.42380952380953,-7.566666666666677
221,1629111,Jock Landale,548,36,8,58,27,31.438,46.55172413793103,54.203448275862065,-7.6517241379310335
222,1630174,Aaron Nesmith,512,32,8,49,19,22.893,38.775510204081634,46.72040816326531,-7.9448979591836775
223,1630529,Herbert Jones,478,27,7,28,11,13.258000000000001,39.285714285714285,47.35000000000001,-8.064285714285724
224,201143,Al Horford,325,17,8,20,8,9.616,40.0,48.08,-8.079999999999998
225,1630572,Sandro Mamukelashvili,631,17,20,19,8,9.555,42.10526315789474,50.28947368421053,-8.184210526315788
226,1641708,Amen Thompson,1044,54,23,121,49,59.06,40.49586776859504,48.8099173553719,-8.31404958677686
227,1641717,Cason Wallace,584,24,6,25,9,11.114,36.0,44.456,-8.456000000000003
228,1631094,Paolo Banchero,1152,43,27,145,53,65.442,36.55172413793103,45.13241379310344,-8.580689655172407
229,1630180,Saddiq Bey,967,41,16,81,28,35.162,34.5679012345679,43.409876543209876,-8.841975308641977
230,1627936,Alex Caruso,300,12,3,9,4,4.835,44.44444444444444,53.72222222222222,-9.277777777777779
231,1629651,Nic Claxton,583,36,13,51,21,25.751,41.1764705882353,50.4921568627451,-9.315686274509801
232,1630703,Scoot Henderson,342,15,12,15,6,7.4190000000000005,40.0,49.46000000000001,-9.460000000000008
233,1629611,Terance Mann,367,32,12,40,16,19.908,40.0,49.77,-9.770000000000003
234,1628971,Bruce Brown,522,39,21,55,20,25.39,36.36363636363637,46.163636363636364,-9.799999999999997
